models;nb_info_transmi;LL1;LL0;mTDT_Stat;DF;mTDT_asympt_Pval;mTDT_asympt_Pval_FDR;mTDT_empirical_Pval;mTDT_empirical_Pval_FDR
M1;11;-34,3;-34,3;0;1;0,96537759647304;0,965660439749956;1;1
M6;38;-32,1;-34,3;4,34;1;0,0371203122617099;0,399352509439498;0,25;1
M8;11;-34,2;-34,3;0,07;1;0,794268505242281;0,965660439749956;0,75;1
Additive:M1+M6;45;-32,1;-34,3;4,32;2;0,115331952457598;0,399352509439498;0,25;1
Epistasis:M1*M6;45;-32;-34,3;4,6;3;0,203189960841958;0,402306806857041;0,5;1
Additive:M1+M8;22;-34,2;-34,3;0,07;2;0,965660439749956;0,965660439749956;1;1
Epistasis:M1*M8;22;-34;-34,3;0,46;3;0,926796068908439;0,965660439749956;1;1
Additive:M6+M8;46;-32,1;-34,3;4,45;2;0,108280142134598;0,399352509439498;0,5;1
Epistasis:M6*M8;46;-31,6;-34,3;5,39;3;0,145219094341635;0,399352509439498;0,75;1
Additive:M1+M6+M8;49;-32,1;-34,3;4,42;3;0,219440076467477;0,402306806857041;0,5;1
Epistasis:M1*M6*M8;49;-30,8;-34,3;7,05;7;0,424192697554688;0,666588524728795;1;1
