models;nb_info_transmi;LL1;LL0;mTDT_Stat;DF;mTDT_asympt_Pval;mTDT_asympt_Pval_FDR;mTDT_empirical_Pval;mTDT_empirical_Pval_FDR
M1;11;-33,2;-33,2;0;1;0,965460920333565;0,965460920333565;1;1
M3;36;-32,6;-33,2;1,37;1;0,242095435413091;0,504065816283267;0,352;0,832333333333333
M4;24;-31,5;-33,2;3,51;1;0,0609504172894163;0,504065816283267;0,147;0,832333333333333
Additive:M1+M3;48;-32,6;-33,2;1,37;2;0,505256513678594;0,694727706308066;0,646;0,8778
Epistasis:M1*M3;48;-32,6;-33,2;1,32;3;0,725158254969129;0,854898354070233;0,761;0,8778
Additive:M1+M4;34;-31,5;-33,2;3,5;2;0,173959683424833;0,504065816283267;0,347;0,832333333333333
Epistasis:M1*M4;34;-31,5;-33,2;3,5;3;0,320769155816624;0,504065816283267;0,454;0,832333333333333
Additive:M3+M4;42;-31,4;-33,2;3,59;2;0,165749967725367;0,504065816283267;0,332;0,832333333333333
Epistasis:M3*M4;42;-31,5;-33,2;3,56;3;0,313107077047594;0,504065816283267;0,444;0,832333333333333
Additive:M1+M3+M4;48;-31,5;-33,2;3,58;3;0,310937693027186;0,504065816283267;0,534;0,839142857142857
Epistasis:M1*M3*M4;48;-31,2;-33,2;4,02;7;0,77718032188203;0,854898354070233;0,798;0,8778
